scorer,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000
bodyparts,P01,P01,P01,P02,P02,P02,P03,P03,P03
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
61,1199.052612,216.1313629,0.985795975,1136.424683,494.1871338,0.993858278,1113.693359,587.2360229,0.921712399
62,1197.498657,216.0491791,0.989125848,1128.154541,491.6791077,0.993570924,1103.860718,576.8115845,0.953968644
63,1195.310059,215.8779907,0.989587903,1119.958374,489.7840271,0.996589303,1093.558594,576.5111694,0.987499058
64,1194.757202,215.7656555,0.987306952,1116.198242,485.0110168,0.995300889,1089.041016,571.9927368,0.988503873
65,1193.442139,215.3130188,0.990587056,1115.34021,483.2530212,0.997533202,1088.63855,570.0327148,0.990855455
66,1193.442139,215.0628967,0.990621448,1115.34021,481.7859192,0.996943057,1088.63855,568.4691162,0.993069351
67,1193.442139,215.0628967,0.990326941,1115.34021,479.947113,0.993970156,1088.63855,567.5829468,0.996534109
68,1193.763184,215.0628967,0.987705231,1118.75061,479.329895,0.992958665,1093.084839,567.1270752,0.993502438
69,1194.000488,215.5758057,0.985852122,1124.619629,479.329895,0.997860968,1102.185059,566.5125122,0.991597474
70,1196.110962,215.5758057,0.986549973,1133.65271,479.947113,0.995238662,1113.268433,563.6052246,0.983257949
71,1197.768799,215.8518372,0.985195637,1143.284912,483.0162659,0.998063862,1127.019287,563.6052246,0.992798924
72,1200.72229,216.0417786,0.988527179,1153.971802,485.9202271,0.9980762,1140.76709,563.6052246,0.997364819
73,1203.623901,216.0417786,0.993756533,1165.516968,487.8396301,0.99320662,1155.806641,564.7341309,0.997102439
74,1205.412598,216.0577545,0.994739473,1179.987549,488.1443787,0.988952637,1171.680298,566.0631104,0.99592495
75,1208.190063,216.0739136,0.99246949,1192.041382,492.1229553,0.996165633,1187.844727,568.1636963,0.988449395
76,1210.764404,216.0577545,0.988224983,1204.096802,494.4757385,0.996178865,1204.327881,573.0211792,0.964592993
77,1213.052612,216.0577545,0.988613129,1214.601563,496.5747681,0.990674078,1220.562378,578.0427246,0.991657019
78,1215.26062,215.7047424,0.987412691,1224.850098,498.7124939,0.994822145,1232.089966,583.9356079,0.98824209
79,1217.299561,215.0978851,0.987502098,1232.836304,500.2559509,0.997958183,1243.398926,586.8675537,0.959574938
80,1218.926025,214.7640381,0.992342532,1239.017944,501.4108887,0.997358024,1249.052368,595.331604,0.997123063
81,1220.75769,214.5108337,0.994843483,1244.83606,502.400238,0.993505239,1254.373535,599.2169189,0.994442642
82,1221.088745,214.5108337,0.995769024,1244.83606,504.4467468,0.99257642,1254.373535,600.7665405,0.988143027
83,1221.088745,214.575592,0.996013641,1244.83606,504.5705566,0.9895643,1254.373535,602.6175537,0.971589208
84,1221.088745,214.7640381,0.995338678,1241.999146,506.6595459,0.986683309,1252.052002,603.4592896,0.984239221
85,1220.904663,215.0876617,0.995384872,1235.72168,507.0118408,0.996242046,1244.54834,605.1645508,0.952006936
86,1218.812012,215.9727936,0.992989659,1229.468384,507.6165466,0.988046765,1232.371582,606.8014526,0.994631052
87,1216.928345,216.124588,0.988701701,1220.729736,507.6165466,0.995662749,1220.074829,606.8014526,0.994184673
88,1213.502808,217.0567017,0.988942504,1209.265747,507.1770325,0.985115469,1205.928345,606.8014526,0.986820281
89,1211.912598,217.0567017,0.987898529,1195.21167,507.1770325,0.981798708,1190.075317,603.8103027,0.986949027
90,1209.187622,217.0567017,0.992047966,1180.832764,505.5213928,0.98706764,1173.378296,601.5293579,0.995347202
91,1206.623901,216.4409485,0.994786978,1169.442749,504.6001587,0.998217046,1156.392944,598.284729,0.998116255
92,1204.283936,216.04422,0.993861318,1157.313599,502.2028198,0.99845016,1140.41626,594.4594727,0.997357905
93,1200.751343,216.0328064,0.990752816,1145.782959,498.3406372,0.993985832,1126.229614,586.7075195,0.978841364
94,1198.773804,216.0025024,0.988144636,1135.171265,493.2889404,0.991667569,1112.909546,586.7045288,0.954258978
95,1196.701416,215.6719666,0.989433348,1127.896362,491.1299133,0.99393338,1104.595215,575.8096924,0.95540458
96,1194.893188,215.6470795,0.989002466,1119.780029,488.8865356,0.996788383,1094.176514,573.4246826,0.981578112
97,1194.498657,215.475708,0.987968326,1117.196777,484.2547913,0.995565116,1090.074585,571.7681885,0.989942312
98,1194.186035,215.1229858,0.98893857,1117.196777,480.5857544,0.995959938,1090.074585,569.3753662,0.995198429
99,1194.186035,214.9842072,0.989382148,1117.196777,479.1165771,0.994478226,1090.074585,567.8849487,0.996455193
100,1194.186035,214.9842072,0.988963485,1117.860962,479.1165771,0.993896425,1091.239258,567.0478516,0.995974004
101,1194.838745,214.9842072,0.985112607,1122.133545,479.1165771,0.995892644,1098.835083,566.0598755,0.971414924
102,1194.839111,216.0536499,0.985619664,1128.049438,480.2027893,0.99609226,1106.545898,565.1802979,0.996817708
103,1196.77417,216.0536499,0.98596108,1136.098877,481.5083618,0.996366501,1119.023315,563.2973022,0.993140161
104,1198.414551,216.0602722,0.985253513,1147.769287,481.9397583,0.995791912,1132.564209,563.2973022,0.98647809
105,1201.916138,216.0536499,0.99134773,1158.179932,485.4823303,0.998082638,1145.807129,563.2973022,0.989013195
106,1204.108032,216.0536499,0.994240284,1168.744385,488.9985657,0.996885121,1161.153564,564.4438477,0.992010772
107,1206.280029,216.3932648,0.994357765,1181.111816,489.7687073,0.990065694,1174.807251,567.7388916,0.993533731
108,1208.857422,216.3932648,0.991095662,1195.439331,492.3920593,0.990530312,1190.852783,570.8446655,0.976095974
109,1211.237671,216.3745575,0.989505589,1205.880981,495.6148987,0.995096028,1209.579346,574.3339233,0.940395892
110,1213.854858,216.3745575,0.988245249,1216.059937,496.8986511,0.996588945,1222.066772,580.0964355,0.993547499
111,1215.76416,216.06633,0.986053109,1227.476929,497.5376892,0.994940162,1233.217407,586.0857544,0.987594187
112,1217.559692,214.8935852,0.988051057,1233.070679,501.4744568,0.998178244,1242.809448,589.7040405,0.97363317
113,1219.473267,214.8935852,0.99239701,1238.462402,502.5122375,0.997766614,1248.401001,596.5267944,0.996646106
114,1220.712769,214.7977905,0.99465692,1243.84082,503.386322,0.990033448,1252.581787,599.9348755,0.995578587
115,1220.856079,214.7977905,0.995865583,1243.84082,504.2770996,0.989443839,1252.581787,602.5388184,0.985803843
116,1220.856079,214.9004822,0.995349348,1243.84082,505.0583801,0.98660475,1252.581787,602.5402832,0.98420018
117,1220.856079,214.9609833,0.994911253,1238.727905,507.0673828,0.99452579,1247.702759,604.0110474,0.965864778
118,1220.521118,215.1871948,0.995170653,1233.890869,507.3948059,0.994245589,1238.12439,607.2451782,0.993225992
119,1217.928711,215.6270599,0.991465926,1226.119995,507.4033813,0.99148643,1229.082153,607.2451782,0.974048376
120,1215.84021,216.6286011,0.98773849,1216.678223,507.3948059,0.991343856,1215.198486,607.2451782,0.98574543
