1000, 0.01448, 0.005
2000, 0.00620, 0.005
3000, 0.00488, 0.005
4000, 0.00410, 0.005
5000, 0.00375, 0.005
6000, 0.00339, 0.005
7000, 0.00323, 0.005
8000, 0.00307, 0.005
9000, 0.00286, 0.005
10000, 0.00275, 0.005
11000, 0.00380, 0.02
12000, 0.00323, 0.02
13000, 0.00300, 0.02
14000, 0.00267, 0.02
15000, 0.00256, 0.02
16000, 0.00239, 0.02
17000, 0.00237, 0.02
18000, 0.00229, 0.02
19000, 0.00213, 0.02
20000, 0.00220, 0.02
