frame,P01_X,P01_Y,P01_Z,P02_X,P02_Y,P02_Z,P03_X,P03_Y,P03_Z
80,155.329,281.983,236.557,189.626,274.590,28.357,204.744,267.830,-42.736
81,156.644,281.910,236.627,194.225,273.318,28.484,209.328,266.443,-43.486
82,156.874,281.933,236.632,195.916,266.578,29.080,210.690,259.667,-44.435
83,156.876,281.937,236.613,195.883,266.483,28.255,210.840,259.836,-45.284
84,156.883,281.951,236.550,194.677,263.455,27.459,209.761,257.287,-45.341
85,156.730,282.104,236.329,190.407,262.418,27.055,204.209,257.709,-49.002
86,155.525,281.200,235.702,185.734,263.093,25.722,196.318,253.804,-50.024
87,153.531,283.696,235.327,178.555,265.863,22.735,187.037,254.844,-51.685
88,152.114,279.958,235.403,173.345,252.993,26.275,180.514,239.188,-46.649
89,151.151,279.297,235.452,163.310,252.087,25.814,168.522,239.493,-46.404
90,148.793,280.806,235.220,152.891,250.743,25.826,155.259,241.727,-47.819
91,147.075,280.226,235.291,143.222,254.969,24.690,141.147,245.510,-48.714
92,145.453,279.925,235.270,132.886,258.607,24.235,127.333,250.103,-49.238
93,142.380,281.851,234.977,122.659,262.420,24.235,114.278,254.448,-48.254
94,140.840,282.247,234.896,112.998,266.058,25.194,102.009,261.424,-49.757
95,139.048,283.218,235.402,106.192,269.707,25.823,92.506,267.163,-46.914
96,137.895,282.639,235.480,98.971,272.432,26.806,84.078,266.924,-45.996
97,137.170,284.178,235.873,94.855,277.715,27.430,79.903,269.950,-44.738
98,136.768,284.733,236.098,92.571,283.995,27.638,77.249,277.939,-44.958
99,136.672,285.053,236.102,92.472,284.094,28.846,77.227,277.852,-43.561
100,136.672,285.053,236.102,92.758,284.971,28.956,77.677,279.303,-43.121
101,136.940,285.797,236.029,94.461,290.302,27.589,80.606,288.803,-45.475
102,137.155,285.237,235.777,98.860,291.803,27.646,85.932,291.209,-45.787
103,138.282,286.252,235.554,104.650,294.061,26.840,93.815,297.637,-46.495
104,139.357,286.686,235.172,112.531,298.461,25.716,103.323,302.207,-47.760
105,141.391,288.550,234.945,121.816,295.695,25.456,114.808,299.902,-44.497
106,143.177,287.840,234.716,130.974,293.393,24.864,127.372,298.852,-44.305
107,144.933,287.233,234.737,141.131,291.154,25.448,140.526,290.903,-43.136
108,147.247,285.551,234.984,152.358,290.833,24.927,153.813,288.640,-43.298
109,148.885,285.829,235.262,161.957,285.431,25.901,167.754,291.473,-45.038
110,150.817,285.648,235.342,170.777,281.050,27.216,180.294,280.804,-43.320
111,152.597,284.038,235.743,179.650,279.456,27.844,191.091,272.630,-41.953
112,154.047,283.180,236.214,185.532,273.589,28.275,199.379,268.684,-41.704
113,155.798,281.714,236.505,190.387,269.969,29.036,205.146,264.225,-42.427
114,156.632,281.889,236.541,194.659,268.438,28.768,209.248,260.229,-43.758
115,156.701,282.018,236.530,194.729,268.537,28.450,209.479,260.503,-44.747
116,156.706,282.023,236.422,194.749,268.523,27.437,209.379,260.321,-46.142
117,156.709,282.026,236.355,192.492,262.987,27.526,207.165,255.072,-45.083
118,156.352,282.549,235.838,188.567,264.462,25.331,200.220,255.119,-50.630
119,155.229,279.854,235.956,184.998,255.855,27.514,195.968,245.123,-47.385
120,153.457,281.116,235.482,178.062,256.124,26.568,186.528,242.471,-47.269
121,151.712,280.050,235.547,169.727,255.203,25.193,175.833,242.750,-48.132
122,149.975,281.464,235.370,160.052,255.481,24.317,162.999,245.479,-48.909
123,147.961,281.250,235.372,150.172,257.336,23.747,149.607,247.925,-50.743
124,146.396,281.288,235.390,139.474,259.213,23.208,136.009,253.774,-52.295
125,143.912,283.141,235.144,129.144,263.045,22.711,122.745,257.954,-52.096
126,141.944,282.525,235.142,119.411,267.624,23.481,110.082,263.293,-51.656
127,140.000,284.270,235.033,111.251,269.457,25.514,98.677,266.761,-50.813
128,139.146,281.987,235.292,108.211,260.752,27.947,95.222,257.133,-43.842
129,138.142,282.165,235.631,101.110,267.247,28.106,86.540,261.585,-44.931
130,137.520,283.711,235.544,96.345,275.392,28.504,81.580,267.311,-44.546
131,136.995,285.120,235.978,92.757,286.250,27.770,77.624,280.016,-44.846
132,136.814,284.635,236.075,92.750,286.234,27.837,77.531,279.752,-44.208
133,136.814,284.635,236.075,93.635,289.004,28.086,78.997,284.497,-44.542
134,136.987,285.114,236.032,96.474,290.366,28.253,83.317,290.139,-46.010
135,137.718,285.995,235.946,101.853,294.019,27.553,88.957,292.542,-45.634
136,138.920,286.774,235.557,108.572,293.053,27.294,97.891,298.244,-44.655
137,140.370,287.511,234.989,116.162,292.771,26.812,107.824,298.071,-44.386
138,142.259,287.920,234.767,125.422,292.132,26.358,120.342,295.073,-42.973
139,143.863,286.519,234.844,134.876,287.680,26.549,132.843,291.967,-42.438
140,146.312,284.403,235.130,144.694,285.689,26.554,146.306,286.859,-43.044
141,147.600,285.651,235.356,155.588,285.619,26.287,158.761,282.923,-42.887
142,149.490,284.282,235.557,164.588,280.395,27.011,172.603,285.195,-44.566
143,151.381,284.035,235.642,173.023,276.271,28.077,183.982,271.980,-41.872
144,153.031,282.990,235.961,181.017,275.274,28.273,194.068,263.294,-41.011
145,154.724,280.387,236.425,186.955,268.509,29.184,200.880,259.595,-41.012
146,155.735,282.974,236.190,189.245,273.836,27.246,204.135,266.075,-45.241
147,156.510,282.116,236.322,191.880,268.696,27.915,206.436,260.824,-44.735
148,156.590,281.805,236.412,193.303,262.496,28.250,207.605,255.754,-44.646
149,156.598,281.825,236.334,193.304,262.482,27.972,207.592,255.729,-44.829
150,156.405,281.308,236.245,191.754,258.753,28.047,205.310,250.183,-44.795
151,156.242,280.894,235.947,187.234,257.568,27.544,198.959,246.075,-47.627
152,154.509,279.568,235.863,182.023,257.389,26.888,191.455,243.452,-48.152
153,152.455,281.057,235.504,173.641,256.173,25.305,181.659,244.951,-49.260
