#lab_reference_pose,calpic01
cam_id,fx,fy,cx,cy,dist_0,dist_1,dist_2,dist_3,dist_4,R_00,R_01,R_02,R_10,R_11,R_12,R_20,R_21,R_22,t_x,t_y,t_z
Cam2,1787.351281,1787.351281,1096.067992,653.420500,0.047922,0.757130,0.025951,0.025068,-1.684779,0.902409,-0.426857,0.058747,-0.119061,-0.378058,-0.918094,0.414104,0.821502,-0.391985,-130.725433,-14.095209,891.084229
Cam3,1545.272415,1545.272415,808.325524,541.062676,0.106688,0.088138,0.008924,-0.047414,-0.291071,0.871947,0.489586,-0.003748,0.152590,-0.279018,-0.948085,-0.465214,0.826108,-0.317995,20.986217,40.886959,1018.472839
