frame,P01_Cam2_X,P01_Cam2_Y,P01_Cam3_X,P01_Cam3_Y,P02_Cam2_X,P02_Cam2_Y,P02_Cam3_X,P02_Cam3_Y,P03_Cam2_X,P03_Cam2_Y,P03_Cam3_X,P03_Cam3_Y
57,930.898,66.748,1210.101,216.710,952.019,413.467,1186.521,506.536,960.384,524.694,1178.215,601.142
58,927.131,66.748,1206.986,216.278,936.939,414.079,1172.812,505.773,938.466,531.098,1160.264,599.428
59,921.957,67.808,1204.822,216.278,902.878,414.084,1160.501,502.901,895.208,531.354,1143.906,595.154
60,916.646,67.808,1201.381,216.131,886.226,414.084,1148.229,497.672,873.417,531.354,1128.837,589.372
61,916.644,67.808,1199.053,216.131,886.143,414.079,1136.425,494.187,873.412,531.098,1113.693,587.236
62,913.023,66.435,1197.499,216.049,872.263,411.606,1128.155,491.679,854.465,526.728,1103.861,576.812
63,910.995,65.250,1195.310,215.878,858.364,409.562,1119.958,489.784,838.439,525.867,1093.559,576.511
64,909.513,65.238,1194.757,215.766,846.672,407.147,1116.198,485.011,827.983,521.073,1089.041,571.993
65,907.461,63.852,1193.442,215.313,840.528,405.655,1115.340,483.253,819.801,517.477,1088.639,570.033
66,907.085,63.516,1193.442,215.063,838.445,404.428,1115.340,481.786,818.927,514.443,1088.639,568.469
67,907.085,63.516,1193.442,215.063,838.445,402.491,1115.340,479.947,818.927,512.501,1088.639,567.583
68,907.085,63.516,1193.763,215.063,838.445,402.138,1118.751,479.330,818.927,511.342,1093.085,567.127
69,907.911,63.891,1194.000,215.576,844.998,400.534,1124.620,479.330,827.414,511.257,1102.185,566.513
70,907.919,63.892,1196.111,215.576,845.013,399.462,1133.653,479.947,827.496,511.238,1113.268,563.605
71,909.432,64.299,1197.769,215.852,854.944,399.462,1143.285,483.016,835.790,510.104,1127.019,563.605
72,910.845,65.503,1200.722,216.042,865.381,400.534,1153.972,485.920,849.134,510.104,1140.767,563.605
73,916.974,66.812,1203.624,216.042,895.661,400.534,1165.517,487.840,888.570,508.142,1155.807,564.734
74,916.982,66.812,1205.413,216.058,895.675,399.768,1179.988,488.144,888.985,508.372,1171.680,566.063
75,922.191,66.812,1208.190,216.074,911.336,399.768,1192.041,492.123,910.830,510.104,1187.845,568.164
76,923.251,65.551,1210.764,216.058,927.207,399.339,1204.097,494.476,931.708,510.310,1204.328,573.021
