scorer,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000
bodyparts,P01,P01,P01,P02,P02,P02,P03,P03,P03
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,907.0007934570312,63.79314041137695,0.9796160459518433,834.300048828125,406.06414794921875,0.9975700974464417,814.2589111328125,516.7548217773438,0.9817827343940735
1,906.9142456054688,63.70290756225586,0.9768608808517456,833.3802490234375,404.81927490234375,0.9970120191574097,814.0841674804688,514.39208984375,0.9773613214492798
2,907.0048828125,63.867740631103516,0.978884220123291,836.8519897460938,403.4871826171875,0.9980717897415161,817.1622314453125,512.397216796875,0.9933779835700989
3,906.9878540039062,63.88576126098633,0.9789925217628479,836.8578491210938,403.5011291503906,0.9980878233909607,817.1243896484375,512.3731079101562,0.9931592345237732
4,907.854736328125,64.1566390991211,0.9838400483131409,843.1619262695312,401.12109375,0.9907949566841125,825.589111328125,512.19287109375,0.9917674660682678
5,909.1809692382812,64.34528350830078,0.9884109497070312,853.7315063476562,401.36065673828125,0.9981270432472229,833.8267211914062,510.60113525390625,0.9902796149253845
6,910.7811279296875,65.49271392822266,0.9933651089668274,863.9363403320312,400.75091552734375,0.9978570342063904,847.2702026367188,502.4080810546875,0.9875497221946716
7,913.023681640625,66.73799896240234,0.9957977533340454,878.5978393554688,400.378173828125,0.9969300627708435,866.596923828125,496.0670471191406,0.9877678751945496
8,916.67529296875,66.59626770019531,0.9936997890472412,894.5164794921875,400.4297790527344,0.9977217316627502,885.560302734375,510.4342956542969,0.9090198874473572
9,922.1116333007812,66.57965087890625,0.9799673557281494,910.1622924804688,399.43157958984375,0.9976286292076111,908.5545654296875,498.9695129394531,0.9421389102935791
10,922.7750244140625,64.88941192626953,0.9835638999938965,925.9901123046875,398.6446838378906,0.9974262118339539,930.0516967773438,504.0650634765625,0.9260873794555664
11,926.5354614257812,64.57496643066406,0.9945924878120422,941.6043701171875,396.815673828125,0.9937726855278015,947.5579833984375,510.8273010253906,0.9188934564590454
12,930.3403930664062,65.05224609375,0.99628084897995,956.00390625,396.09136962890625,0.9893918037414551,969.2728881835938,503.560302734375,0.7541456818580627
13,933.2034912109375,65.76112365722656,0.9947116374969482,969.746826171875,394.5126647949219,0.9853193759918213,991.8912963867188,497.63372802734375,0.875129759311676
14,937.8129272460938,65.7965316772461,0.9878296852111816,981.5048217773438,393.95953369140625,0.9948365688323975,1003.45166015625,498.31658935546875,0.939460813999176
15,940.0157470703125,65.33000183105469,0.986752986907959,989.3624877929688,394.52252197265625,0.9872452616691589,1009.3328857421875,500.5067443847656,0.9825004935264587
16,940.3566284179688,65.12397766113281,0.9854335784912109,995.7933959960938,395.98638916015625,0.993793249130249,1015.8428955078125,507.0025329589844,0.9443949460983276
17,940.356201171875,65.12813568115234,0.985602617263794,995.7898559570312,395.9358825683594,0.9938240051269531,1015.8681030273438,507.02105712890625,0.9436696767807007
18,939.908935546875,65.11911010742188,0.9884260892868042,997.5018920898438,399.56488037109375,0.9965131878852844,1017.8601684570312,509.0367431640625,0.9151480197906494
19,940.6788330078125,64.95953369140625,0.9903942942619324,996.73583984375,401.48876953125,0.998404324054718,1016.8404541015625,507.9835205078125,0.9459663033485413
20,939.613525390625,66.14996337890625,0.986874520778656,991.7587890625,402.85577392578125,0.9987624883651733,1010.0616455078125,513.7254638671875,0.9937576055526733
21,938.8358764648438,66.7204360961914,0.9853742122650146,984.2697143554688,405.29278564453125,0.9962939620018005,1000.5686645507812,519.6463012695312,0.9890286922454834
22,934.6788940429688,66.64600372314453,0.9909838438034058,973.1826171875,409.9406433105469,0.9870505332946777,987.1679077148438,522.7242431640625,0.9688003659248352
23,932.2398071289062,66.8774642944336,0.9961172342300415,960.0821533203125,412.0730895996094,0.9928312301635742,971.4160766601562,525.2147827148438,0.983004093170166
24,929.1567993164062,66.19312286376953,0.9955213069915771,945.1367797851562,414.29266357421875,0.9971381425857544,951.5189208984375,528.0708618164062,0.9936396479606628
25,925.9740600585938,67.00003814697266,0.9940959215164185,928.48486328125,416.1335144042969,0.998172402381897,928.4066162109375,530.0970458984375,0.9915857315063477
26,923.8319702148438,65.81643676757812,0.983360767364502,911.317138671875,416.5332946777344,0.9977425336837769,905.7540893554688,535.7011108398438,0.9813377857208252
27,918.117919921875,68.05682373046875,0.9885220527648926,894.5059204101562,415.5126953125,0.9969005584716797,885.8876953125,531.787841796875,0.9906271696090698
28,915.6199340820312,67.94635772705078,0.99327152967453,877.9651489257812,413.9356689453125,0.9922575950622559,862.76513671875,528.0922241210938,0.9810861349105835
29,911.951904296875,65.5876235961914,0.9955871105194092,865.2379150390625,411.43353271484375,0.99370276927948,845.9744873046875,524.77783203125,0.9746876358985901
30,911.9549560546875,65.58766174316406,0.9955938458442688,865.2197875976562,411.4521789550781,0.9936965107917786,846.0564575195312,524.8362426757812,0.9753307104110718
31,910.4818725585938,65.25346374511719,0.9936378598213196,853.0783081054688,408.1126403808594,0.995989978313446,832.48486328125,524.7740478515625,0.9758928418159485
32,908.239013671875,64.69094848632812,0.9861971735954285,842.9521484375,405.7467956542969,0.9921007752418518,823.9965209960938,519.7083129882812,0.9877468347549438
33,907.5204467773438,63.95853805541992,0.9821955561637878,837.0985717773438,406.0316162109375,0.9984194040298462,815.7733764648438,516.39453125,0.9920532703399658
34,907.0115356445312,63.732261657714844,0.9792447090148926,833.666015625,404.9310302734375,0.9972361922264099,813.8441772460938,513.7911376953125,0.9775707721710205
35,906.8540649414062,63.704078674316406,0.9784330129623413,834.9734497070312,403.0420227050781,0.9984633922576904,815.2716064453125,512.229736328125,0.9853680729866028
36,907.3212280273438,63.740234375,0.9797994494438171,841.1390380859375,401.4687194824219,0.9946721196174622,820.931640625,512.3700561523438,0.9954256415367126
37,908.4152221679688,64.39830780029297,0.985927939414978,848.2157592773438,400.3954772949219,0.998150646686554,828.9010620117188,512.435546875,0.975842297077179
38,910.0609741210938,64.85725402832031,0.9933144450187683,858.9340209960938,400.7682189941406,0.9867511987686157,840.2549438476562,507.3435363769531,0.980449914932251
39,911.9560546875,65.42140197753906,0.9957681894302368,872.4436645507812,400.4151611328125,0.99470454454422,857.3920288085938,497.7441101074219,0.9921708106994629
40,915.1235961914062,66.68051147460938,0.9956711530685425,887.2246704101562,400.76776123046875,0.9975202679634094,878.2698364257812,509.03863525390625,0.8845785856246948
41,918.3753662109375,66.41046905517578,0.9889849424362183,903.2517700195312,400.6315002441406,0.9969846606254578,901.3764038085938,499.990966796875,0.9850425720214844
42,923.1259765625,67.05792999267578,0.9827576279640198,919.1146240234375,400.07647705078125,0.9973146319389343,920.5980224609375,504.3167724609375,0.9017457365989685
43,925.1475219726562,65.33729553222656,0.9931278228759766,935.417724609375,398.3435974121094,0.995681881904602,940.136962890625,511.2139892578125,0.8729119896888733
44,925.2017211914062,65.2993392944336,0.9930114150047302,935.416748046875,398.3740234375,0.9957109689712524,939.5469970703125,511.0281677246094,0.8493210673332214
45,928.3395385742188,65.40484619140625,0.9958375692367554,950.9121704101562,397.1006774902344,0.9946797490119934,961.0762939453125,504.5992736816406,0.9231189489364624
